route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
801,RINFRA-801-1_Weekday-16,46644010,,1,106,801SB_120323
801,RINFRA-801-1_Weekday-16,46644011,,0,108,801NB_120323
801,RINFRA-801-1_Weekday-16,46644012,,1,114,801SB_120323
801,RINFRA-801-1_Weekday-16,46644013,,1,103,801SB_120323
801,RINFRA-801-1_Weekday-16,46644014,,1,113,801SB_120323
801,RINFRA-801-1_Weekday-16,46644015,,1,112,801SB_120323
801,RINFRA-801-1_Weekday-16,46644016,,1,115,801SB_120323
801,RINFRA-801-1_Weekday-16,46644017,,1,108,801SB_120323
801,RINFRA-801-1_Weekday-16,46644018,,1,116,801SB_120323
801,RINFRA-801-1_Weekday-16,46644019,,1,107,801SB_120323
801,RINFRA-801-1_Weekday-16,46644020,,1,118,801SB_120323
801,RINFRA-801-1_Weekday-16,46644021,,1,102,801SB_120323
801,RINFRA-801-1_Weekday-16,46644022,,1,117,801SB_120323
801,RINFRA-801-1_Weekday-16,46644023,,1,101,801SB_120323
801,RINFRA-801-1_Weekday-16,46644024,,1,109,801SB_120323
801,RINFRA-801-1_Weekday-16,46644025,,1,105,801SB_120323
801,RINFRA-801-1_Weekday-16,46644026,,1,110,801SB_120323
801,RINFRA-801-1_Weekday-16,46644027,,1,107,801SB_120323
801,RINFRA-801-1_Weekday-16,46644028,,1,104,801SB_120323
801,RINFRA-801-1_Weekday-16,46644029,,1,111,801SB_120323
801,RINFRA-801-1_Weekday-16,46644030,,1,103,801SB_120323
801,RINFRA-801-1_Weekday-16,46644031,,1,101,801SB_120323
801,RINFRA-801-1_Weekday-16,46644032,,1,106,801SB_120323
801,RINFRA-801-1_Weekday-16,46644033,,1,113,801SB_120323
801,RINFRA-801-1_Weekday-16,46644034,,1,108,801SB_120323
801,RINFRA-801-1_Weekday-16,46644035,,1,102,801SB_120323
801,RINFRA-801-1_Weekday-16,46644036,,0,113,801NB_120323
801,RINFRA-801-1_Weekday-16,46644037,,1,112,801SB_120323
801,RINFRA-801-1_Weekday-16,46644038,,1,114,801SB_120323
801,RINFRA-801-1_Weekday-16,46644039,,0,107,801NB_120323
801,RINFRA-801-1_Weekday-16,46644040,,0,103,801NB_120323
801,RINFRA-801-1_Weekday-16,46644041,,0,105,801NB_120323
801,RINFRA-801-1_Weekday-16,46644042,,0,107,801NB_120323
801,RINFRA-801-1_Weekday-16,46644043,,0,101,801NB_120323
801,RINFRA-801-1_Weekday-16,46644044,,0,102,801NB_120323
801,RINFRA-801-1_Weekday-16,46644045,,0,104,801NB_120323
801,RINFRA-801-1_Weekday-16,46644046,,0,106,801NB_120323
801,RINFRA-801-1_Weekday-16,46644047,,0,109,801NB_120323
801,RINFRA-801-1_Weekday-16,46644048,,0,103,801NB_120323
801,RINFRA-801-1_Weekday-16,46644049,,0,107,801NB_120323
801,RINFRA-801-1_Weekday-16,46644050,,0,110,801NB_120323
801,RINFRA-801-1_Weekday-16,46644051,,0,111,801NB_120323
801,RINFRA-801-1_Weekday-16,46644052,,0,108,801NB_120323
801,RINFRA-801-1_Weekday-16,46644053,,0,101,801NB_120323
801,RINFRA-801-1_Weekday-16,46644054,,0,102,801NB_120323
801,RINFRA-801-1_Weekday-16,46644055,,0,105,801NB_120323
801,RINFRA-801-1_Weekday-16,46644056,,0,113,801NB_120323
801,RINFRA-801-1_Weekday-16,46644057,,0,112,801NB_120323
801,RINFRA-801-1_Weekday-16,46644058,,0,114,801NB_120323
801,RINFRA-801-1_Weekday-16,46644059,,0,115,801NB_120323
801,RINFRA-801-1_Weekday-16,46644060,,0,116,801NB_120323
801,RINFRA-801-1_Weekday-16,46644061,,0,117,801NB_120323
801,RINFRA-801-1_Weekday-16,46644062,,0,104,801NB_120323
801,RINFRA-801-1_Weekday-16,46644063,,0,106,801NB_120323
801,RINFRA-801-1_Weekday-16,46644064,,0,110,801NB_120323
801,RINFRA-801-1_Weekday-16,46644065,,0,103,801NB_120323
801,RINFRA-801-1_Weekday-16,46644066,,0,109,801NB_120323
801,RINFRA-801-1_Weekday-16,46644067,,0,108,801NB_120323
801,RINFRA-801-1_Weekday-16,46644068,,0,111,801NB_120323
801,RINFRA-801-1_Weekday-16,46644069,,0,105,801NB_120323
801,RINFRA-801-1_Weekday-16,46644070,,0,101,801NB_120323
801,RINFRA-801-1_Weekday-16,46644071,,0,107,801NB_120323
801,RINFRA-801-1_Weekday-16,46644072,,0,102,801NB_120323
801,RINFRA-801-1_Weekday-16,46644073,,0,104,801NB_120323
801,RINFRA-801-1_Weekday-16,46644074,,0,106,801NB_120323
801,RINFRA-801-1_Weekday-16,46644075,,0,103,801NB_120323
801,RINFRA-801-1_Weekday-16,46644076,,0,111,801NB_120323
801,RINFRA-801-1_Weekday-16,46644077,,0,109,801NB_120323
