trip_id,start_time,end_time,headway_secs
18S_18S_I_2_1,22:22:15,24:38:45,630
18S_18S_I_2_0,05:30:00,08:44:15,555
18S_18S_I_2_0,08:44:15,12:10:15,515
18S_18S_I_2_0,12:10:15,14:01:05,475
18S_18S_I_2_0,14:01:05,17:46:35,410
18S_18S_I_2_0,17:46:35,19:29:15,440
18S_18S_I_2_0,19:29:15,20:55:25,470
18S_18S_I_2_0,20:55:25,22:28:55,510
18S_18S_I_2_0,22:28:55,22:56:40,555
18S_18S_I_2_0,22:56:40,23:06:00,560
18S_18S_I_2_0,23:06:00,24:30:00,630
18S_18S_I_4_0,05:30:00,24:40:00,600
18S_18S_I_4_0,24:40:00,24:48:30,510
18S_18S_I_4_0,24:48:30,25:00:00,690
18S_18S_I_4_1,05:30:00,25:00:00,600
18S_18S_I_5_3,05:30:00,08:49:30,630
18S_18S_I_5_3,08:49:30,08:59:45,615
18S_18S_I_5_3,08:59:45,19:20:15,510
18S_18S_I_5_3,19:20:15,19:30:00,585
18S_18S_I_5_3,19:30:00,24:45:00,630
18S_18S_I_5_2,05:30:00,09:21:00,630
18S_18S_I_5_2,09:21:00,19:41:30,510
18S_18S_I_5_2,19:41:30,19:51:00,570
18S_18S_I_5_2,19:51:00,24:45:00,630
18S_18S_F1_1_3,05:30:00,07:25:30,630
18S_18S_F1_1_3,07:25:30,08:40:10,560
18S_18S_F1_1_3,08:40:10,12:19:00,505
18S_18S_F1_1_3,12:19:00,15:00:00,460
18S_18S_F1_1_3,15:00:00,18:23:00,420
18S_18S_F1_1_3,18:23:00,18:31:20,500
18S_18S_F1_1_3,18:31:20,22:18:35,505
18S_18S_F1_1_3,22:18:35,22:29:00,625
18S_18S_F1_1_3,22:29:00,24:03:30,630
18S_18S_F1_1_3,24:03:30,24:38:00,690
18S_18S_F1_1_2,05:30:00,08:07:30,630
18S_18S_F1_1_2,08:07:30,09:22:10,560
18S_18S_F1_1_2,09:22:10,09:30:45,515
18S_18S_F1_1_2,09:30:45,11:37:00,505
18S_18S_F1_1_2,11:37:00,14:18:00,460
18S_18S_F1_1_2,14:18:00,18:23:00,420
18S_18S_F1_1_2,18:23:00,21:36:35,505
18S_18S_F1_1_2,21:36:35,21:45:50,555
18S_18S_F1_1_2,21:45:50,23:00:30,560
18S_18S_F1_1_2,23:00:30,24:35:00,630
18S_18S_F1_2_1,05:29:45,08:25:30,555
18S_18S_F1_2_1,08:25:30,08:34:35,545
18S_18S_F1_2_1,08:34:35,11:26:20,515
18S_18S_F1_2_1,11:26:20,13:17:10,475
18S_18S_F1_2_1,13:17:10,17:02:40,410
18S_18S_F1_2_1,17:02:40,17:09:40,420
18S_18S_F1_2_1,17:09:40,18:37:35,440
18S_18S_F1_2_1,18:37:35,20:11:35,470
18S_18S_F1_2_1,20:11:35,21:45:05,510
18S_18S_F1_2_1,21:45:05,22:12:50,555
18S_18S_F1_2_1,22:12:50,22:22:15,565
18S_18S_F1_2_1,22:22:15,24:38:45,630
18S_18S_F1_2_0,05:30:00,08:44:15,555
18S_18S_F1_2_0,08:44:15,12:10:15,515
18S_18S_F1_2_0,12:10:15,14:01:05,475
18S_18S_F1_2_0,14:01:05,17:46:35,410
18S_18S_F1_2_0,17:46:35,19:29:15,440
18S_18S_F1_2_0,19:29:15,20:55:25,470
18S_18S_F1_2_0,20:55:25,22:28:55,510
18S_18S_F1_2_0,22:28:55,22:56:40,555
18S_18S_F1_2_0,22:56:40,23:06:00,560
18S_18S_F1_2_0,23:06:00,24:30:00,630
18S_18S_F1_4_0,05:30:00,24:40:00,600
18S_18S_F1_4_0,24:40:00,24:48:30,510
18S_18S_F1_4_0,24:48:30,25:00:00,690
18S_18S_F1_4_1,05:30:00,25:00:00,600
18S_18S_F1_5_3,05:30:00,08:49:30,630
18S_18S_F1_5_3,08:49:30,08:59:45,615
18S_18S_F1_5_3,08:59:45,19:20:15,510
18S_18S_F1_5_3,19:20:15,19:30:00,585
18S_18S_F1_5_3,19:30:00,24:45:00,630
18S_18S_F1_5_2,05:30:00,09:21:00,630
18S_18S_F1_5_2,09:21:00,19:41:30,510
18S_18S_F1_5_2,19:41:30,19:51:00,570
18S_18S_F1_5_2,19:51:00,24:45:00,630
18S_18S_F2_1_3,05:30:00,07:25:30,630
18S_18S_F2_1_3,07:25:30,08:40:10,560
18S_18S_F2_1_3,08:40:10,12:19:00,505
18S_18S_F2_1_3,12:19:00,15:00:00,460
18S_18S_F2_1_3,15:00:00,18:23:00,420
18S_18S_F2_1_3,18:23:00,18:31:20,500
18S_18S_F2_1_3,18:31:20,22:18:35,505
18S_18S_F2_1_3,22:18:35,22:29:00,625
18S_18S_F2_1_3,22:29:00,24:03:30,630
18S_18S_F2_1_3,24:03:30,24:38:00,690
18S_18S_F2_1_2,05:30:00,08:07:30,630
18S_18S_F2_1_2,08:07:30,09:22:10,560
18S_18S_F2_1_2,09:22:10,09:30:45,515
18S_18S_F2_1_2,09:30:45,11:37:00,505
18S_18S_F2_1_2,11:37:00,14:18:00,460
18S_18S_F2_1_2,14:18:00,18:23:00,420
18S_18S_F2_1_2,18:23:00,21:36:35,505
18S_18S_F2_1_2,21:36:35,21:45:50,555
18S_18S_F2_1_2,21:45:50,23:00:30,560
18S_18S_F2_1_2,23:00:30,24:35:00,630
18S_18S_F2_2_1,05:29:45,08:25:30,555
18S_18S_F2_2_1,08:25:30,08:34:35,545
18S_18S_F2_2_1,08:34:35,11:26:20,515
18S_18S_F2_2_1,11:26:20,13:17:10,475
18S_18S_F2_2_1,13:17:10,17:02:40,410
18S_18S_F2_2_1,17:02:40,17:09:40,420
18S_18S_F2_2_1,17:09:40,18:37:35,440
18S_18S_F2_2_1,18:37:35,20:11:35,470
18S_18S_F2_2_1,20:11:35,21:45:05,510
18S_18S_F2_2_1,21:45:05,22:12:50,555
18S_18S_F2_2_1,22:12:50,22:22:15,565
18S_18S_F2_2_1,22:22:15,24:38:45,630
18S_18S_F2_2_0,05:30:00,08:44:15,555
18S_18S_F2_2_0,08:44:15,12:10:15,515
18S_18S_F2_2_0,12:10:15,14:01:05,475
18S_18S_F2_2_0,14:01:05,17:46:35,410
18S_18S_F2_2_0,17:46:35,19:29:15,440
18S_18S_F2_2_0,19:29:15,20:55:25,470
18S_18S_F2_2_0,20:55:25,22:28:55,510
18S_18S_F2_2_0,22:28:55,22:56:40,555
18S_18S_F2_2_0,22:56:40,23:06:00,560
18S_18S_F2_2_0,23:06:00,24:30:00,630
18S_18S_F2_4_0,05:30:00,24:40:00,600
18S_18S_F2_4_0,24:40:00,24:48:30,510
18S_18S_F2_4_0,24:48:30,25:00:00,690
18S_18S_F2_4_1,05:30:00,25:00:00,600
18S_18S_F2_5_3,05:30:00,08:49:30,630
18S_18S_F2_5_3,08:49:30,08:59:45,615
18S_18S_F2_5_3,08:59:45,19:20:15,510
18S_18S_F2_5_3,19:20:15,19:30:00,585
18S_18S_F2_5_3,19:30:00,24:45:00,630
18S_18S_F2_5_2,05:30:00,09:21:00,630
18S_18S_F2_5_2,09:21:00,19:41:30,510
18S_18S_F2_5_2,19:41:30,19:51:00,570
18S_18S_F2_5_2,19:51:00,24:45:00,630
18U_18U_S_1_3,05:30:00,05:40:00,600
18U_18U_S_1_3,05:40:00,05:59:00,570
18U_18U_S_1_3,05:59:00,06:08:00,540
18U_18U_S_1_3,06:08:00,06:29:00,420
18U_18U_S_1_3,06:29:00,06:47:00,360
18U_18U_S_1_3,06:47:00,06:52:50,350
18U_18U_S_1_3,06:52:50,07:12:50,240
18U_18U_S_1_3,07:12:50,07:16:45,235
18U_18U_S_1_3,07:16:45,07:31:45,225
18U_18U_S_1_3,07:31:45,07:42:15,210
18U_18U_S_1_3,07:42:15,08:31:00,195
18U_18U_S_1_3,08:31:00,08:38:00,210
18U_18U_S_1_3,08:38:00,08:45:30,225
18U_18U_S_1_3,08:45:30,09:09:15,285
18U_18U_S_1_3,09:09:15,09:29:15,300
18U_18U_S_1_3,09:29:15,09:34:40,325
18U_18U_S_1_3,09:34:40,15:22:40,360
18U_18U_S_1_3,15:22:40,15:50:10,330
18U_18U_S_1_3,15:50:10,15:55:10,300
18U_18U_S_1_3,15:55:10,15:59:30,260
18U_18U_S_1_3,15:59:30,16:27:30,240
18U_18U_S_1_3,16:27:30,16:46:40,230
18U_18U_S_1_3,16:46:40,18:06:40,240
18U_18U_S_1_3,18:06:40,18:39:55,285
18U_18U_S_1_3,18:39:55,22:39:55,300
18U_18U_S_1_3,22:39:55,22:45:55,360
18U_18U_S_1_3,22:45:55,23:27:55,420
18U_18U_S_1_3,23:27:55,24:19:25,515
18U_18U_S_1_3,24:19:25,24:28:25,540
18U_18U_S_1_3,24:28:25,24:38:00,575
18U_18U_S_1_2,05:30:00,05:40:00,600
18U_18U_S_1_2,05:40:00,05:49:00,540
18U_18U_S_1_2,05:49:00,06:05:00,480
18U_18U_S_1_2,06:05:00,06:12:00,420
18U_18U_S_1_2,06:12:00,06:24:00,360
18U_18U_S_1_2,06:24:00,06:39:00,300
18U_18U_S_1_2,06:39:00,06:57:00,270
18U_18U_S_1_2,06:57:00,07:05:30,255
18U_18U_S_1_2,07:05:30,07:30:00,210
18U_18U_S_1_2,07:30:00,08:07:30,225
18U_18U_S_1_2,08:07:30,08:39:30,240
18U_18U_S_1_2,08:39:30,08:44:00,270
18U_18U_S_1_2,08:44:00,08:49:00,300
18U_18U_S_1_2,08:49:00,09:05:30,330
18U_18U_S_1_2,09:05:30,09:22:45,345
18U_18U_S_1_2,09:22:45,09:28:40,355
18U_18U_S_1_2,09:28:40,15:22:40,360
18U_18U_S_1_2,15:22:40,15:28:10,330
18U_18U_S_1_2,15:28:10,15:32:40,270
18U_18U_S_1_2,15:32:40,15:44:40,240
18U_18U_S_1_2,15:44:40,16:07:40,230
18U_18U_S_1_2,16:07:40,16:38:25,205
18U_18U_S_1_2,16:38:25,17:06:55,190
18U_18U_S_1_2,17:06:55,17:10:10,195
18U_18U_S_1_2,17:10:10,17:13:40,210
18U_18U_S_1_2,17:13:40,17:25:10,230
18U_18U_S_1_2,17:25:10,17:33:00,235
18U_18U_S_1_2,17:33:00,18:01:00,240
18U_18U_S_1_2,18:01:00,18:18:40,265
18U_18U_S_1_2,18:18:40,18:47:10,285
18U_18U_S_1_2,18:47:10,22:27:10,300
18U_18U_S_1_2,22:27:10,22:42:20,455
18U_18U_S_1_2,22:42:20,23:08:05,515
18U_18U_S_1_2,23:08:05,23:17:05,540
18U_18U_S_1_2,23:17:05,23:26:45,580
18U_18U_S_1_2,23:26:45,24:35:00,585
